Grain Elevators,street,city,state,postal_code,latitude,longitude,,,,,,,,,,,,
CHS Inc,,Piedmont,Oklahoma,73078,35.6419793,-97.7463735,,,,,,,,,,,,
CHS Inc.,903 A St SE,Quincy,Washington,98848,47.2379829,-119.8362457,,,,,,,,,,,,
Baynard's Farm & Nagel Farm Service,305 Starr Rd,Centreville,Maryland,21617,38.996004,-76.0507215,,,,,,,,,,,,
Dynamic Elevator Co,,Teaneck,New Jersey,7666,40.8924205,-74.0124284,,,,,,,,,,,,
Farmers Elevator Co,200 Washington Ave,Mission Hill,South Dakota,57046,42.9228806,-97.2788084,,,,,,,,,,,,
Sinai Co-Op Elevator Co,323 Main Ave,Sinai,South Dakota,57061,44.2446523,-97.0404446,,,,,,,,,,,,
White Pigeon Elevator,15950 Seybert Ave,White Pigeon,Michigan,49099,41.793686,-85.644257,,,,,,,,,,,,
J E Meuret Grain Co Inc,206 Main St,Creighton,Nebraska,68729,42.4667223,-97.8992273,,,,,,,,,,,,
Columbia Grain,291 Central Ferry Rd,Pomeroy,Washington,99347,46.630892,-117.7961274,,,,,,,,,,,,
Crete Grain Co,1109 7th St S,Oakes,North Dakota,58474,46.1277469,-98.0902345,,,,,,,,,,,,
Republic Elevator,522 Maple St,Republic,Ohio,44867,41.1182372,-83.0178887,,,,,,,,,,,,
Carrier Mill & Elevator Co,204 W Maple Ave,Carrier,Oklahoma,73727,36.4787712,-98.023572,,,,,,,,,,,,
Consolidated Grain and Barge Co.,US-60,Orienta,Oklahoma,73737,36.3612791,-98.4743257,,,,,,,,,,,,
North Central Farmers Elevator,38934 US-212,Redfield,South Dakota,57469,44.8790128,-98.4355861,,,,,,,,,,,,
Dahlgren & Co Inc,35963 US-12,Ipswich,South Dakota,57451,45.4476765,-98.9258818,,,,,,,,,,,,
Skyland Grain - Milepost Elevator,,Ulysses,Kansas,67880,37.5649795,-101.4543075,,,,,,,,,,,,
United Prairie AG LLC,1125 W Oklahoma Ave,Ulysses,Kansas,67880,37.5758355,-101.3718093,,,,,,,,,,,,
Perdue AgriBusiness - Parksley Grain Elevator,19125 Greenbush Rd,Parksley,Virginia,23421,37.7796354,-75.6558943,,,,,,,,,,,,
Bentley Elevator Co,502 Bentley Dr,Carthage,Illinois,62321,40.3464655,-91.1127468,,,,,,,,,,,,
Boogher AG & Son Elevator,10736 Santa Fe Line Rd,Wapakoneta,Ohio,45895,40.4935833,-83.9934092,,,,,,,,,,,,
Aurora Cooperative Elevator Co,410 Railroad St,Hardy,Nebraska,68943,40.0082588,-97.9281768,,,,,,,,,,,,
Aurora Cooperative Elevator Co,308 Burlington Northern Railroad,Byron,Nebraska,68325,40.0029302,-97.7667928,,,,,,,,,,,,
Grain Exchange Inc,303 S 1st St,Malta,Illinois,60150,41.9273892,-88.8646944,,,,,,,,,,,,
Doan Grain Services,1361 Whitewater Ave,St Charles,Minnesota,55972,43.9646044,-92.0643575,,,,,,,,,,,,
Perdue AgriBusiness-Bridgeton Grain Elevator,73 Silver Lake Rd,Bridgeton,New Jersey,8302,39.478109,-75.217155,,,,,,,,,,,,
Foraker Elevator - a division of Mennel,9603 Co Rd 89,Alger,Ohio,45812,40.6797561,-83.7408828,,,,,,,,,,,,
Irvington Elevator Co,201 W Superior St,Irvington,Illinois,62848,38.4374261,-89.164388,,,,,,,,,,,,
Gavilon Grain LLC,7907 Co Rd C,DeForest,Wisconsin,53532,43.2814142,-89.2561715,,,,,,,,,,,,
Walton Agri-Services,233 S Sandusky Ave,Upper Sandusky,Ohio,43351,40.8250015,-83.2811047,,,,,,,,,,,,
Cargill Inc,1724 Country Club Rd,Harrisonburg,Virginia,22802,38.4366014,-78.8389768,,,,,,,,,,,,
Cargill Inc,1724 Country Club Rd,Harrisonburg,Virginia,22802,38.4366014,-78.8389768,,,,,,,,,,,,
Consolidated Grain and Barge Co.,"Unnamed Rd,",Portageville,Missouri,63873,36.4116172,-89.539772,,,,,,,,,,,,
Bombay Elevator LLC,6882 MN-60,Kenyon,Minnesota,55946,44.282601,-92.8938958,,,,,,,,,,,,
Express Grain Terminals,2015 River Rd Ext,Greenwood,Mississippi,38930,33.5182779,-90.2066515,,,,,,,,,,,,
Hillsdale Elevator Company,107 Butzer St,Hillsdale,Illinois,61257,41.6141448,-90.1730874,,,,,,,,,,,,
Pitchford Elevator Co,7315 IL-127,Nashville,Illinois,62263,38.3217356,-89.3814098,,,,,,,,,,,,
Gateway FS- Nashville Elevator,680 N Mill St,Nashville,Illinois,62263,38.3479212,-89.3801952,,,,,,,,,,,,
Ionia Grain Elevator,227 S Steele St,Ionia,Michigan,48846,42.980524,-85.068464,,,,,,,,,,,,
Central Ok Services,102 W Main St,Marshall,Oklahoma,73056,36.1540577,-97.6277531,,,,,,,,,,,,
Adm Grain,106 E 3rd St,St Peter,Illinois,62880,38.8678126,-88.8531123,,,,,,,,,,,,
Miller Elevator Co,1010 Elevator Ave,Hannaford,North Dakota,58448,47.2691822,-98.1953103,,,,,,,,,,,,
Farmers Elevator Co of Honeyford,2472 30th St NE,Honeyford,North Dakota,58235,48.0330238,-97.4702301,,,,,,,,,,,,
Emerado Farmers Elevator CO-OP,106 E Emery St,Emerado,North Dakota,58228,47.9187822,-97.3717561,,,,,,,,,,,,
Buchheit Grain,7466 South N Outer Rd,Dudley,Missouri,63936,36.7870972,-90.1431166,,,,,,,,,,,,
Trotter Grain & Fertilizer,300 Edith St,Sargent,Nebraska,68874,41.6427918,-99.3626871,,,,,,,,,,,,
Cargill river Cincinnati,5495 River Rd,Cincinnati,Ohio,45233,39.0969457,-84.6578708,,,,,,,,,,,,
MFA,104 N High St,Grant City,Missouri,64456,40.4892073,-94.4132131,,,,,,,,,,,,
Pasley's Grain Seed & Feed,5740 E Iona Rd,Idaho Falls,Idaho,83401,43.5247417,-111.9196466,,,,,,,,,,,,
Adm Grain,154 Stephenson St,German Valley,Illinois,61039,42.2141668,-89.4750315,,,,,,,,,,,,
Flagler Cooperative Association,221 E 2nd St,Flagler,Colorado,80815,39.2896908,-103.0639194,,,,,,,,,,,,
Ursa Farmers Co-Op,317 E Center St,Loraine,Illinois,62349,40.1542724,-91.2195995,,,,,,,,,,,,
Agri Trails Co-op,508 N Main St,Hope,Kansas,67451,38.695012,-97.0779743,,,,,,,,,,,,
Columbia Grain & Ingredients,3830 NW Brown Rd,Lake City,Florida,32055,30.2206518,-82.7535272,,,,,,,,,,,,
Mid-Iowa Cooperative Liscomb,401 Main St,Liscomb,Iowa,50148,42.1877167,-93.0072267,,,,,,,,,,,,
Snittjer Grain Co,204 N Adams St,Wellsburg,Iowa,50680,42.4377776,-92.9260835,,,,,,,,,,,,
Fleming Feed & Grain Co,309 S Main St,Leon,Kansas,67074,37.6866438,-96.7817329,,,,,,,,,,,,
Butte Farm Supply Inc,48256 NE-12,Butte,Nebraska,68722,42.9135707,-98.8404892,,,,,,,,,,,,
Caledonia Farm Supply,179 North St,Caledonia,Ohio,43314,40.6372859,-82.9697802,,,,,,,,,,,,
Country Visions Cooperative,2513 Marken Rd,Valders,Wisconsin,54245,44.0684781,-87.901829,,,,,,,,,,,,
Rickett Grain Co,102 S Broadway St,Forest City,Illinois,61532,40.369773,-89.8285997,,,,,,,,,,,,
"Fleming Feed & Grain, Burden Location",20325 112th Rd,Burden,Kansas,67019,37.31554,-96.801357,,,,,,,,,,,,
Nickerson - Central Prairie Co-op,1 S Nickerson St,Nickerson,Kansas,67561,38.1456623,-98.0834762,,,,,,,,,,,,
Kolkmeier Brothers Feed-Grain,302 Meridian St,Fairland,Indiana,46126,39.5848828,-85.8606386,,,,,,,,,,,,
Daily Feed & Grain Inc,9040 E 25th St,Columbus,Indiana,47203,39.2245875,-85.8224159,,,,,,,,,,,,
United Farmers Cooperative,306 E North St,Macksburg,Iowa,50155,41.217638,-94.185086,,,,,,,,,,,,
Agricultural Co,512 S Riedel St,Yorktown,Texas,78164,28.9751259,-97.5008298,,,,,,,,,,,,
Hogue-Warner,82014 Paterson Ferry Rd,Irrigon,Oregon,97844,45.9146614,-119.5697306,,,,,,,,,,,,
Flagler Cooperative Association,316 4th Ave,Hugo,Colorado,80821,39.1329533,-103.4697963,,,,,,,,,,,,
Tama-Benton Cooperative Co,311 Front St,Clutier,Iowa,52217,42.077919,-92.4045486,,,,,,,,,,,,
Farmers Co-Op Grain Association,710 S Sumner Ave,Oxford,Kansas,67119,37.2685585,-97.168312,,,,,,,,,,,,
Mid-Iowa Cooperative Beaman,101 Main St,Beaman,Iowa,50609,42.218153,-92.8218527,,,,,,,,,,,,
Barkley Seed Inc.,1818 S Letvin Ave,Yuma,Arizona,85365,32.69363,-114.607054,,,,,,,,,,,,
Cooperative Elevator Co.,3615 Davis St,Akron,Michigan,48701,43.5682111,-83.5119986,,,,,,,,,,,,
Trotter Grain & Fertilizer,1120 Main St,Ansley,Nebraska,68814,41.288279,-99.3865678,,,,,,,,,,,,
Trotter Grain and Feed,101 Railroad St,Litchfield,Nebraska,68852,41.1552289,-99.1548312,,,,,,,,,,,,
CHS SunPrairie,202 Elevator Rd N,Mohall,North Dakota,58761,48.7641032,-101.5155376,,,,,,,,,,,,
Sun Prairie Grain,215 Elevator Rd W,Norma,North Dakota,58746,48.7280186,-101.974505,,,,,,,,,,,,
Seed-Tex,103 Ward Rd,Olney,Texas,76374,33.2481653,-98.7408357,,,,,,,,,,,,
Key Cooperative,605 Broadway St,Barnes City,Iowa,50027,41.5092791,-92.4689954,,,,,,,,,,,,
Horizon Resources- Grenora,1 Railroad Ave,Grenora,North Dakota,58845,48.6160965,-103.9408685,,,,,,,,,,,,
Centennial Grain LLC,450 E 2000 N,Rexburg,Idaho,83440,43.8548532,-111.7693965,,,,,,,,,,,,
Cargill Inc,500 IN-28,Tipton,Indiana,46072,40.2859334,-86.0043379,,,,,,,,,,,,
Bellingham Fertilizer Plant,300 Railroad St,Bellingham,Minnesota,56212,45.1318072,-96.2867543,,,,,,,,,,,,
Lorraine- Central Prairie Co-op,101 S Main St,Lorraine,Kansas,67459,38.5665265,-98.3173871,,,,,,,,,,,,
Blair Grain,420 N Park Rd,Blair,Wisconsin,54616,44.2969391,-91.2265056,,,,,,,,,,,,
The Arthur Companies - Anamoose Elevator,104 Railroad Ave,Anamoose,North Dakota,58710,47.8826035,-100.2384076,,,,,,,,,,,,
Ag Producers Co-op,501 W 1st St,Panhandle,Texas,79068,35.3395415,-101.3826695,,,,,,,,,,,,
CHS SunPrairie “The Main”,1600 27th St SE,Minot,North Dakota,58701,48.2201691,-101.2544306,,,,,,,,,,,,
United AG Services Inc,2904 Front St,Walker,Kansas,67674,38.8674007,-99.0784278,,,,,,,,,,,,
United AG Services Inc,300 W S Harvest St,Lucas,Kansas,67648,39.0562835,-98.5386396,,,,,,,,,,,,
Farmers Cooperative Elevator,906 N Main St,Cheney,Kansas,67025,37.6363801,-97.7804748,,,,,,,,,,,,
Farmers Grain of Maxwell,8th Ave,Lapel,Indiana,46051,40.0677715,-85.8504705,,,,,,,,,,,,
Pro Cooperative Rolfe Elevator,601 Broad St,Rolfe,Iowa,50581,42.812219,-94.5317765,,,,,,,,,,,,
CHS SunPrairie,101 Railway St SE,Bowbells,North Dakota,58721,48.8013811,-102.2464228,,,,,,,,,,,,
S&S Grain Inc.,12868 Co Rd 9,Walhalla,North Dakota,58282,48.9104194,-97.8882293,,,,,,,,,,,,
Seed and Farm Supply South,375 Main St,Waco,Missouri,64832,37.2458854,-94.5991493,,,,,,,,,,,,
Mid-West Fertilizer,154 Main St,Metz,Missouri,64765,37.9957365,-94.443387,,,,,,,,,,,,
United Prairie AG,220 Santa Fe Ave,Lakin,Kansas,67860,37.9370828,-101.2569772,,,,,,,,,,,,
Ag Valley Co-op,106 Pine St,Big Springs,Nebraska,69122,41.0600758,-102.074883,,,,,,,,,,,,
Top AG Co-Op,812 Park St,St Libory,Illinois,62282,38.3656637,-89.7123331,,,,,,,,,,,,
ADM Growmark,2032 LA-44,Reserve,Louisiana,70084,30.0566168,-90.579167,,,,,,,,,,,,
Pro Cooperative Rutland Elevator,106 Sheridan Ave,Rutland,Iowa,50582,42.7604714,-94.2915692,,,,,,,,,,,,
Farmers Grain & AG LLC,1257 US-33,Willshire,Ohio,45898,40.7509735,-84.7990711,,,,,,,,,,,,
"Walnut Hill Grain, LLC",6113 Sterling Rd,Sterling,Ohio,44276,40.9596044,-81.8579082,,,,,,,,,,,,
Northwest Grain,393 Pacific Ave,Stephen,Minnesota,56757,48.4495835,-96.873576,,,,,,,,,,,,
Boyd coop,1065 NW 40 Ave,Hoisington,Kansas,67544,38.5165055,-98.8502712,,,,,,,,,,,,
Valley Commodities LLC,2990 N Township Rd,Yuba City,California,95993,39.1701552,-121.6893897,,,,,,,,,,,,
River Valley Co-Op,102 S Main St,Walcott,Iowa,52773,41.5857937,-90.7768496,,,,,,,,,,,,
Westcon Consolidated Co-Op,"Hwy 119 S, 458 N Munsterman St",Appleton,Minnesota,56208,45.2039435,-96.0210591,,,,,,,,,,,,
Farmers Cooperative Association of Milroy,602 Euclid St,Milroy,Minnesota,56263,44.4202428,-95.5530417,,,,,,,,,,,,
Watkins Grain,32521 E Front St N,Watkins,Colorado,80137,39.7454662,-104.606908,,,,,,,,,,,,
Heartland Earlham anhydrous plant,1413 105th St,Earlham,Iowa,50072,41.4966208,-94.1649248,,,,,,,,,,,,
Weskan Grain,72225 CO-96,Sheridan Lake,Colorado,81071,38.4718279,-102.193131,,,,,,,,,,,,
Farmers Grain,285 Immigrant Rd,Lake Village,Arkansas,71653,33.2887679,-91.160982,,,,,,,,,,,,
M & P Grain Inc,7101 FM487,Bartlett,Texas,76511,30.8141842,-97.5078816,,,,,,,,,,,,
Garber Coop Elevator,102 E Railroad St,Garber,Oklahoma,73738,36.4403214,-97.5822277,,,,,,,,,,,,
Pride Grain,44075 US-20,Long Pine,Nebraska,69217,42.551572,-99.6587493,,,,,,,,,,,,
Agfirst Farmers Co-Op,202 2nd Ave S,Clear Lake,South Dakota,57226,44.7550063,-96.6813221,,,,,,,,,,,,
Cargill AG Horizons,15624 258th Rd,Atchison,Kansas,66002,39.5139511,-95.1328389,,,,,,,,,,,,
Morrison Grain & AG Services Inc,423 Woolsey Ave,Morrison,Oklahoma,73061,36.2959927,-97.0108469,,,,,,,,,,,,
Max Farmers Elevator,202 Carvell St,Max,North Dakota,58759,47.8206821,-101.2948221,,,,,,,,,,,,
Bartlett,2350 S Main St,Jacksonville,Illinois,62650,39.6926092,-90.2230678,,,,,,,,,,,,
CHS Southwest Grain,,,,,45.9432787,-102.1559978,,,,,,,,,,,,
J..E. Meuret Grain Co. Inc.,100 Omaha St,Crofton,Nebraska,68730,42.7263902,-97.4973733,,,,,,,,,,,,
Tremont Cooperative Grain Co,14173 Wagonseller Rd,Pekin,Illinois,61554,40.5258316,-89.6932284,,,,,,,,,,,,
Cooperative Grain & Supply Co,708 Union St,Troy Grove,Illinois,61372,41.4679371,-89.0745013,,,,,,,,,,,,
Rogers Grain Inc,4693 Red River-West Grove Rd,Arcanum,Ohio,45304,40.0558255,-84.4476907,,,,,,,,,,,,
ADM Fickle,2906 S Co Rd 930 W,Frankfort,Indiana,46041,40.2448546,-86.6811368,,,,,,,,,,,,
Smithfield Grain,7211 Shawnee St,Harpster,Ohio,43323,40.7369349,-83.2500436,,,,,,,,,,,,
Cargill AG Horizons,1657 Front St,Buffalo,Iowa,52728,41.457438,-90.7814508,,,,,,,,,,,,
Columbia Grain,600 1st St N,Havre,Montana,59501,48.5553155,-109.6730027,,,,,,,,,,,,
Allied Cooperative,165 Mill St S,West Salem,Wisconsin,54669,43.895518,-91.076819,,,,,,,,,,,,
Farm City Elevator,,Lake Geneva,Wisconsin,53147,42.5086763,-88.4852773,,,,,,,,,,,,
Cotton Growers Co-Op,1509 W Broadway St,Altus,Oklahoma,73521,34.6387069,-99.352918,,,,,,,,,,,,
CPI Lewis NE,1590 Rd 318,Harvard,Nebraska,68944,40.5972441,-97.9967737,,,,,,,,,,,,
Gateway FS Inc,246 W St Louis St,Nashville,Illinois,62263,38.3434885,-89.3845909,,,,,,,,,,,,
Cargill Inc,21295 State Hwy 13,New Richland,Minnesota,56072,43.8664588,-93.4876861,,,,,,,,,,,,
Cargill Inc,21295 State Hwy 13,New Richland,Minnesota,56072,43.8664588,-93.4876861,,,,,,,,,,,,
Wilson Fertilizer & Grain Inc,408 E 9th St #1650,Rochester,Indiana,46975,41.0648503,-86.2115949,,,,,,,,,,,,
Kentland Elevator & Supply,300 4th St,Sheldon,Illinois,60966,40.767361,-87.5643825,,,,,,,,,,,,
Cargill Inc,1029 Poland Center Rd,Kennedy,New York,14747,42.1317758,-79.1238124,,,,,,,,,,,,
ADM Grain Toledo,1308 Miami St,Toledo,Ohio,43605,41.62663,-83.530865,,,,,,,,,,,,
AG Sales Distributors,321 Sam Tillman Rd,Statesboro,Georgia,30458,32.3382589,-81.8144459,,,,,,,,,,,,
Central Valley Bean Co-Op (Loading & Delivery),Valiants St,Buxton,North Dakota,58218,47.6025469,-97.0963838,,,,,,,,,,,,
Genesee Union Warehouse,7651 Johnson Rd,Colton,Washington,99113,46.6292889,-117.1392424,,,,,,,,,,,,
Nodaway Elevator Inc,904 4th St,Nodaway,Iowa,50857,40.9401164,-94.8931079,,,,,,,,,,,,
River Valley Ag Exchange LLC,26 E Haynie St,Marshall,Missouri,65340,39.1274357,-93.1973081,,,,,,,,,,,,
Landus,310 E Clay St,Panora,Iowa,50216,41.6946293,-94.3612626,,,,,,,,,,,,
Legacy Cooperative - Bisbee,5954 ND-66,Bisbee,North Dakota,58317,48.6261711,-99.3726576,,,,,,,,,,,,
Walton Elevator Co,304 Depot St,Walton,Indiana,46994,40.6631393,-86.2429854,,,,,,,,,,,,
Tennessee Valley Commodities,144 Bryan Ln,Lawrenceburg,Tennessee,38464,35.2709895,-87.3238002,,,,,,,,,,,,
Spectrum shipping And receiveing,13260 Corporate Exchange Dr,Bridgeton,Missouri,63044,38.7575059,-90.4477146,,,,,,,,,,,,
ADM Burlington,701 Cash St #4742,Burlington,Iowa,52601,40.8273708,-91.1058271,,,,,,,,,,,,
North Central MFA,1035 Industrial Rd,Chillicothe,Missouri,64601,39.7759971,-93.5432721,,,,,,,,,,,,
Hord Elevator,910 OH-98,Bucyrus,Ohio,44820,40.735036,-82.9955801,,,,,,,,,,,,
Ranch Drive Elevator,313 E Grand Ave,Tonkawa,Oklahoma,74653,36.6781391,-97.3069557,,,,,,,,,,,,
Roth Grain Co Inc,303 S Main St,Morton,Illinois,61550,40.60883,-89.463792,,,,,,,,,,,,
Roche Grain Elevator,200 Railroad Ave,Dublin,Georgia,31027,32.5464217,-82.8686253,,,,,,,,,,,,
"Michel Grain ""Cadillac Ranch”",Cascade Rd,Rochester,Illinois,62563,39.6651056,-89.4869024,,,,,,,,,,,,
Banghart Properties,,Gettysburg,South Dakota,,45.0116469,-99.9555543,,,,,,,,,,,,
Cargill,250 7th Ave NE,West Fargo,North Dakota,58078,46.8841738,-96.8945566,,,,,,,,,,,,
Phil O'Connell Grain Co,1310 W Charter Way,Stockton,California,95206,37.9344299,-121.3051307,,,,,,,,,,,,
Erwin-Keith Inc.,006-06043-0000,Marked Tree,Arkansas,72365,35.5262868,-90.4080865,,,,,,,,,,,,
Total Grain Marketing,401 E Madison St,Toledo,Illinois,62468,39.2751543,-88.2391819,,,,,,,,,,,,
Total Grain Marketing,,Windsor,Illinois,61957,39.4343179,-88.6008982,,,,,,,,,,,,
HighLine Grain Growers -- Waterville,201-500 N Monroe St,Waterville,Washington,98858,47.651434,-120.0652946,,,,,,,,,,,,
Skyland Grain Capps Switch,8027 Cemetery Rd,Sunray,Texas,79086,36.0378395,-101.6442968,,,,,,,,,,,,
Louis Dreyfus,David Work Dr,Rosedale,Mississippi,38769,33.8139228,-91.0179901,,,,,,,,,,,,
Agtegra Cooperative Redfield Energy,38650 171st St,Redfield,South Dakota,57469,44.9157509,-98.5009976,,,,,,,,,,,,
The Andersons inc.,805 US-26,Bliss,Idaho,83314,42.921674,-114.929223,,,,,,,,,,,,
Alton Grain Terminal,369 Co Hwy 81,Hillsboro,North Dakota,58045,47.3568857,-97.0461868,,,,,,,,,,,,
Fritcher Enterprises Inc,14532 County Rd 782,Sinton,Texas,78387,28.0889499,-97.557908,,,,,,,,,,,,
Cayuga Grain,111 Curtis St,Cayuga,Indiana,47928,39.949115,-87.462417,,,,,,,,,,,,
Routt & Associates,372 Thompson Dr,Douglas,Georgia,31535,31.5023727,-82.8817059,,,,,,,,,,,,
Topflight Grain Co-Op,400 E Bodman St,Bement,Illinois,61813,39.9230347,-88.5676674,,,,,,,,,,,,
Gateway FS Inc,18 N Mill Rd,Venedy,Illinois,62214,38.3966898,-89.645021,,,,,,,,,,,,
Cargill,3315 US-75 BUS,Sioux City,Iowa,51105,42.5268947,-96.3639136,,,,,,,,,,,,
Tate & Lyle,11860 Liberty Rd,Farmer City,Illinois,61842,40.2229176,-88.72036,,,,,,,,,,,,
Market St Terminal (Northern Partners Coop/CHS),"One Cooperative Way,",Peru,Illinois,61354,41.3276462,-89.1460581,,,,,,,,,,,,
Gateway FS Inc,220 E McClurken Ave,Sparta,Illinois,62286,38.1217824,-89.6999653,,,,,,,,,,,,
"Cargill, Inc.",5757 IL-100,Beardstown,Illinois,62618,40.0525719,-90.4328464,,,,,,,,,,,,
Central Grain Co,1140 W Locust St,Belvidere,Illinois,61008,42.2524981,-88.8580012,,,,,,,,,,,,
Baggett Grain Inc,3900 Memorial Blvd,Springfield,Tennessee,37172,36.4814116,-86.8585984,,,,,,,,,,,,
"Poinsett Rice & Grain, Inc.",919 E Elm St,Corning,Arkansas,72422,36.4034301,-90.5597021,,,,,,,,,,,,
Central Grain Inc,44705 Zellwood Rd,Sauk Centre,Minnesota,56378,45.7743797,-95.0550231,,,,,,,,,,,,
Agmark Llc,118 W Main St,Beloit,Kansas,67420,39.4591884,-98.1114292,,,,,,,,,,,,
Frontier Cooperative,1854 E 14th Ave,Columbus,Nebraska,68601,41.4331764,-97.310891,,,,,,,,,,,,
Central Region Cooperative,225 Oak St NE,Sleepy Eye,Minnesota,56085,44.2983949,-94.7209872,,,,,,,,,,,,
Midwest Farmers Co-Op,13200 42nd St,Plattsmouth,Nebraska,68048,40.9711875,-95.9794158,,,,,,,,,,,,
Pro Cooperative Bradgate Elevator,500 S Public Rd,Bradgate,Iowa,50520,42.8022244,-94.419837,,,,,,,,,,,,
"Viserion Grain, LLC","2220 E, State Hwy 198",Osceola,Arkansas,72370,35.6544011,-89.9391721,,,,,,,,,,,,
CHS Grain Elevator,110 1st St NE,Cut Bank,Montana,59427,48.6368637,-112.327913,,,,,,,,,,,,
Great Bend Co-Op Association Elevator,1600 Kansas Ave,Great Bend,Kansas,67530,38.367858,-98.7632087,,,,,,,,,,,,
Cargill Soybean Plant,1016 Clark St,Sioux City,Iowa,51101,42.501176,-96.3905886,,,,,,,,,,,,
Midland Marketing Co-op Toulon,2050 Hwy 40,Hays,Kansas,67601,38.8499785,-99.2351622,,,,,,,,,,,,
Consolidated Grain and Barge Co.,1 State St,Smithshire,Illinois,61478,40.7925499,-90.7811738,,,,,,,,,,,,
Douglas Peanut & Grain Co,361 Cotton Gin Rd,Douglas,Georgia,31533,31.5110359,-82.897499,,,,,,,,,,,,
Cargill Chillicothe,331 S Watt St,Chillicothe,Ohio,45601,39.3292419,-82.9613591,,,,,,,,,,,,
John Marion Inc,607 E Main St,Dundee,Michigan,48131,41.9577674,-83.6478424,,,,,,,,,,,,
Cargill West Elevator,12100 Dakota Ave,Savage,Minnesota,55378,44.7828403,-93.3597233,,,,,,,,,,,,
Matthews Feed & Grain,928 Massachusetts Ave,Matthews,Indiana,46957,40.3860327,-85.5011012,,,,,,,,,,,,
F R Orr Grain Co,503 E Ohio St,Momence,Illinois,60954,41.1593974,-87.6566086,,,,,,,,,,,,
Farmers Feed & Grain Co Inc,306 Birch St,Riceville,Iowa,50466,43.3616083,-92.5517321,,,,,,,,,,,,
Andersons Grain & Ethanol,1211 US-6,Fairmont,Nebraska,68354,40.6340275,-97.6041899,,,,,,,,,,,,
Northwest Grain Growers,,Prescott,Washington,99348,46.3996362,-118.6356973,,,,,,,,,,,,
Inland Empire Milling Co,9611 Pine City-Malden Rd,Rosalia,Washington,99170,47.203135,-117.5255479,,,,,,,,,,,,
McCoy Rail Terminal,WA-271,Rosalia,Washington,99170,47.1893912,-117.3184051,,,,,,,,,,,,
Almota Elevator Co,Union Ctr,Colfax,Washington,99111,46.7432175,-117.3318455,,,,,,,,,,,,
CLD Pacific Grain,70976 Cargill Ln,Boardman,Oregon,97818,45.852303,-119.6536073,,,,,,,,,,,,
Northwest Grain Growers,,Milton-Freewater,Oregon,97862,45.9752636,-118.3416759,,,,,,,,,,,,
Mountain Grain & Fertilizer,,Minidoka,Idaho,83343,42.7508282,-113.5014985,,,,,,,,,,,,
Double J Milling,2450 NW Granary Rd,Mountain Home,Idaho,83647,43.1570434,-115.7381974,,,,,,,,,,,,
Northwest Grain Growers,Endicott Rd,Colfax,Washington,99111,46.9356232,-117.5550761,,,,,,,,,,,,
Newell Grain Growers Associates,100 County Rd 103,Tulelake,California,96134,41.9404683,-121.4566791,,,,,,,,,,,,
Winema Elevators Inc,24001 Malin Spring Rd,Malin,Oregon,97632,42.006982,-121.419179,,,,,,,,,,,,
Associated Rice Marketing Co-Op,5246 Midway,Richvale,California,95974,39.4957325,-121.744601,,,,,,,,,,,,
Pacific Ag Commodities,4126 Hydo Lk Wy,Sacramento,California,95834,38.6446635,-121.5409291,,,,,,,,,,,,
Delta Grain Services LLC,689 Gaines Hwy,Boyle,Mississippi,38730,33.7110992,-90.7189778,,,,,,,,,,,,
"Greenfield Grain, LLC",405 Port Rd,Lake Providence,Louisiana,71254,32.7534211,-91.1731381,,,,,,,,,,,,
Delta Seed & Services,142 Main St,Arcola,Mississippi,38722,33.2706259,-90.882636,,,,,,,,,,,,
Griffin Grain Inc,31221 AR-44,Mellwood,Arkansas,72367,34.2583497,-90.940445,,,,,,,,,,,,
Griffin Grain Elaine Co,,Mellwood,Arkansas,72367,34.2197947,-90.9504173,,,,,,,,,,,,
Farmers Grain Beiz Division,509 Silver City Rd,Belzoni,Mississippi,39038,33.1689994,-90.4949327,,,,,,,,,,,,
Williamson County Gin,308 Sturgis St,Taylor,Texas,76574,30.5651655,-97.4105329,,,,,,,,,,,,
G & S Grain Co,104 E Franklin St,Fayetteville,Texas,78940,29.903763,-96.673875,,,,,,,,,,,,
Thrall Cooperative Grain Co,200 W Taylor St,Thrall,Texas,76578,30.5898127,-97.3022916,,,,,,,,,,,,
Hatchel Legacy Grain,240 Co Rd 457,Winters,Texas,79567,31.8519604,-99.9479841,,,,,,,,,,,,
Bomarton Cooperative Elevator,176 FM1152,Seymour,Texas,76380,33.5095598,-99.425827,,,,,,,,,,,,
GAVILON Grain LLC,14411 FM2209,San Perlita,Texas,78580,26.5035767,-97.6400107,,,,,,,,,,,,
Irsik & Doll Pierceville Elevator,"104 East, US-50",Pierceville,Kansas,67868,37.8828229,-100.6765354,,,,,,,,,,,,
Skyland Grain Elevator A,2366 Rd 20,Moscow,Kansas,67952,37.3248209,-101.2117878,,,,,,,,,,,,
Archer Daniels Midland Country Store,492 Co Rd WW,Copeland,Kansas,67837,37.6796615,-100.6884554,,,,,,,,,,,,
Elkhart Co-Op Equity Exchange,"2305 Highway Z23 , Rolla, KS 67954",Rolla,Kansas,,37.1002,-101.678,,,,,,,,,,,,
Farmers Co-Op Elevator Association,414 Evening Tower Rd,Levelland,Texas,79336,33.5954077,-102.4158466,,,,,,,,,,,,
Skyland Grain LLC,48985 US-160,Walsh,Colorado,81090,37.4237183,-102.1811478,,,,,,,,,,,,
